"","year","state","state_abv","total_ballots_counted","vote_for_highest_office","vap","noncitizen_pct","ineligible_prison","ineligible_probation","ineligible_parole","ineligible_felons_total","eligible_overseas","vep","vep_turnout_rate","vap_turnout_rate","state_totalvotes","democrat_vote","green_vote","other_vote","republican_vote","libertarian_vote","democrat_vote_perc","green_vote_perc","other_vote_perc","republican_vote_perc","libertarian_vote_perc","crime.population","crime.rates.property.all","crime.rates.property.burglary","crime.rates.property.larceny","crime.rates.property.motor","crime.rates.violent.all","crime.rates.violent.assault","crime.rates.violent.murder","crime.rates.violent.rape","crime.rates.violent.robbery","crime.totals.property.all","crime.totals.property.burglary","crime.totals.property.larceny","crime.totals.property.motor","crime.totals.violent.all","crime.totals.violent.assault","crime.totals.violent.murder","crime.totals.violent.rape","crime.totals.violent.robbery"
"608",2000,"North Dakota","ND",292249,288256,482078,1.2,1076,0,0,1076,NA,475217,61.5,60.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642200,2206.6,325.9,1727.2,153.5,81.4,45.8,0.6,26.3,8.7,14171,2093,11092,986,523,294,4,169,56
"609",2000,"Ohio","OH",4795989,4705457,8487355,1.8,45833,0,0,45833,NA,8288750,57.86,56.51,4705457,2186190,117857,50201,2351209,NA,0.464607369698629,0.0250468764245428,0.0106686768150256,0.499677077061803,NA,11353140,3707.7,780.7,2583.2,343.7,334.1,155.3,3.7,37.6,137.5,420939,88636,293277,39026,37935,17636,418,4271,15610
"610",2000,"Oklahoma","OK",NA,1234229,2568304,2.9,23181,30969,1825,40491,NA,2453332,NA,NA,1234229,474276,0,15616,744337,NA,0.384269045695734,0,0.0126524332194431,0.603078521084823,NA,3450654,4060.8,917.5,2785.4,357.8,497.8,375.5,5.3,41.2,75.8,140125,31661,96116,12348,17177,12958,182,1422,2615
"611",2000,"Oregon","OR",1559215,1533968,2595354,6.4,10580,0,0,10580,NA,2418671,64.47,60.08,1533968,720342,77357,22692,713577,NA,0.469593889833425,0.0504293440280371,0.0147930074160608,0.465183758722477,NA,3421399,4494.7,748.8,3338.7,407.2,350.7,226.7,2,37.6,84.4,153780,25618,114230,13932,12000,7756,70,1286,2888
"612",2000,"Pennsylvania","PA",NA,4912185,9375146,2.4,36847,0,0,36847,NA,9113295,NA,NA,4912185,2485967,103392,41699,2281127,NA,0.506081713127661,0.0210480672043093,0.00848889038177512,0.464381329286254,NA,12281054,2575.3,440.4,1839.2,295.8,420,240.9,4.9,26.4,147.8,316274,54080,225869,36325,51584,29580,602,3247,18155
"613",2000,"Rhode Island","RI",412074,408783,804417,6.9,3286,20922,331,14078,NA,734834,56.08,51.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048319,3178.7,631.5,2102.2,445,297.7,166.2,4.3,39.3,88,33323,6620,22038,4665,3121,1742,45,412,922
"614",2000,"South Carolina","SC",1433533,1382717,3025380,2.2,21778,44632,4378,48472,NA,2910350,49.26,47.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4012012,4518.7,969.3,3125.2,388.5,828.1,624.5,7.3,41.4,155,181290,40319,125385,15586,33225,25054,291,1660,6220
"615",2000,"South Dakota","SD",322159,316269,554875,1.2,2616,0,0,2616,NA,545601,59.05,58.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754844,2153,383.7,1663.7,105.7,166.8,108.1,0.9,40.4,17.4,16252,2896,12558,798,1259,816,7,305,131
"616",2000,"Tennessee","TN",2100241,2076181,4316391,2.2,22166,40682,8093,50600,NA,4170830,50.36,48.66,2076181,981720,19781,12731,1061949,NA,0.472848947177534,0.00952758935757528,0.006131931657211,0.51149153180768,NA,5689283,4183,990.4,2708.8,483.9,707.2,495.2,7.2,38.4,166.4,237985,56344,154111,27530,40233,28172,410,2186,9465
"617",2000,"Texas","TX",6407637,6407037,15138468,11.4,166719,441848,111719,499362,NA,12913321,49.62,42.33,6407637,2433746,137994,36258,3799639,NA,0.37981958091571,0.0215358641570988,0.00565856024615627,0.592985994681035,NA,20851820,4410.4,906.3,3057.4,446.8,545.1,356.3,5.9,37.7,145.1,919658,188975,637522,93161,113653,74302,1238,7856,30257
"618",2000,"Utah","UT",784582,770754,1534950,6.1,5632,0,0,5632,NA,1435686,54.65,51.11,770754,203053,35850,16755,515096,NA,0.263447221811369,0.0465128951649943,0.0217384535143509,0.668301429509286,NA,2233169,4220.3,642.5,3288.5,289.3,255.7,159.5,1.9,38.6,55.6,94247,14348,73438,6461,5711,3563,43,863,1242
"619",2000,"Vermont","VT",297146,294308,463503,2,0,0,0,0,NA,454233,65.42,64.11,294308,149022,20374,5137,119775,NA,0.506347092161953,0.0692267964173587,0.0174545034453702,0.406971607975318,NA,608827,2873.4,575,2165.5,132.9,113.5,69.8,1.5,23,19.2,17494,3501,13184,809,691,425,9,140,117
"620",2000,"Virginia","VA",2789808,2739447,5389008,5.6,30168,33955,5148,52294,NA,5034930,55.41,51.77,2737915,1216422,59373,25243,1436877,NA,0.444287715286998,0.0216854796441818,0.00921978951136175,0.524807015557459,NA,7078515,2746.4,429.9,2064.8,251.6,281.7,164.3,5.7,22.8,88.9,194405,30434,146158,17813,19943,11631,401,1616,6295
"621",2000,"Washington","WA",2517028,2487433,4419907,6.9,14915,154466,160,92308,NA,4022625,62.57,56.95,2488441,1247652,103002,28923,1108864,NA,0.50137897583266,0.0413921808875517,0.0116229398245729,0.445605903455216,NA,5894121,4736,907.3,3234.6,594.1,369.7,221.3,3.3,46.4,98.6,279144,53476,190650,35018,21788,13043,196,2737,5812
"622",2000,"West Virginia","WV",NA,648124,1405021,0.6,3856,6216,1112,8076,NA,1388515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1808344,2286.3,546.9,1556.1,183.3,316.5,254.2,2.5,18.3,41.4,41344,9890,28139,3315,5723,4597,46,331,749
"623",2000,"Wisconsin","WI",NA,2598607,4016401,2.4,20612,53242,9923,57156,NA,3862851,NA,NA,2598607,1242987,94070,24271,1237279,NA,0.478328196606874,0.0362001641648776,0.00934000408680497,0.476131635141443,NA,5363675,2972.3,469.5,2229.9,272.9,236.8,127.3,3.2,21.7,84.6,159424,25183,119605,14636,12700,6829,169,1165,4537
"624",2000,"Wyoming","WY",221685,213726,366639,1.5,1680,4115,514,4252,NA,356887,62.12,60.46,218351,60481,4625,5298,147947,NA,0.276989800825277,0.0211814921846019,0.0242636855338423,0.677565021456279,NA,493782,3031.5,420.8,2494.6,116,266.5,217.5,2.4,32.4,14.2,14969,2078,12318,573,1316,1074,12,160,70
"625",1998,"United States",NA,74825832,72537000,205313182,7.3,1285469,2236975,515924,2919881,2937000,190342439,39.31,36.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270248003,4052.5,863.2,2729.5,459.9,567.6,361.4,6.3,34.5,165.5,10951827,2332735,7376311,1242781,1533887,976583,16974,93144,447186
"626",1998,"Alabama","AL",NA,1317842,3293917,1.3,22676,40379,5221,48087,NA,3203009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4352000,4085,964.3,2779,341.7,512.1,339.9,8.1,33.2,130.9,177779,41965,120943,14871,22286,14791,354,1443,5698
"627",1998,"Alaska","AK",227156,223300,429317,3.2,4097,4274,478,6712,NA,408867,55.56,52.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614000,4123.1,667.4,3031.1,424.6,653.9,492,6.7,68.6,86.6,25316,4098,18611,2607,4015,3021,41,421,532
"628",1998,"Arizona","AZ",1037550,1017616,3628841,9.4,25311,51329,3742,54718,NA,3233012,32.09,28.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4669000,5997,1209.5,3922.4,865.1,577.9,373.6,8.1,31.1,165.2,280001,56473,183137,40391,26984,17442,376,1451,7715
"629",1998,"Arkansas","AR",NA,706011,1951741,1.9,10638,28698,6979,31966,NA,1882692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2538000,3793.2,928.3,2581.8,283.2,490.2,350.9,7.9,35.2,96.2,96271,23559,65525,7187,12442,8906,201,893,2442
"630",1998,"California","CA",8617649,8381871,23980067,18.5,161904,0,108424,270328,NA,19273427,44.71,35.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32667000,3639.1,823.5,2217.1,598.5,703.7,456.6,6.6,29.9,210.6,1188791,269012,724262,195517,229883,149148,2171,9782,68782
"631",1998,"Colorado","CO",NA,1327235,3085075,6,14312,0,5204,19516,NA,2880455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3971000,4109.5,786.5,2917.9,405.1,377.9,244.4,4.6,47.4,81.5,163189,31231,115871,16087,15008,9704,183,1883,3238
"632",1998,"Connecticut","CT",1022453,999537,2544417,6.2,17605,55000,1396,46501,NA,2340162,43.69,40.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3274000,3420.2,665.9,2366.3,388.1,366.3,206.2,4.1,22.2,133.8,111978,21801,77472,12705,11993,6751,135,728,4379
