series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020"
Idaho,1479,1349,1526,1597,1630,1534,1671,1730,1493,1518,1278,1356,1406,1227,1592,1421,1623,1610,1723,1660,1732,1641,1406,1313,1436,1313,1533,1536,1653,1608,1826,1721,1750,1563,1416,1496,1532,1368,1522,1579,1836,1614,1912,1769,1752,1652,1448,1458,1508,1447,1653,1584,1723,1651,1834,1687,1656,1627,1475,1469,1628,1394,1505,1584,1695,1610,1839,1701,1657,1618,1356,1438,1596,1441,1537,1519,1662,1538,1892,1747,1664,1567,1463,1496,1414,1399,1637,1623,1911,1762,1944,1737,1769,1492,1450,1499,1471,1531,1500,1595,1765,1660,1743,1597,1603,1508,1357,1275,1411,1421,1514,1609,1620,1545,1740,1716,1569,1350,1354,1251,1387,1337,1466,1452,1571,1430,1579,1578,1465,1445,1283,1338,1300,1160,1373,1340,1481,1378,1540,1488,1496,1364,1331,1301,1396,1181,1307,1417,1493,1384,1506,1540,1563,1295,1154,1198,1263,1132,1277,1298,1421,1408,1602,1470,1384,1322,1382,1116,1299,1239,1393,1325,1387,1380,1443,1485,1488,1315,1153,1295,1335,1136,1332,1251,1472,1475,1412,1552,1447,1401,1186,1256,1284,1298,1321,1453,1511,1479,1562,1588,1374,1392,1207,1238,1347,1257,1367,1503,1503,1448,1674,1683,1570,1451,1360,1404,1421,1323,1481,1494,1721,1559,1662,1647,1615,1581,1353,1426,1551,1369,1412,1421,1637,1548,1617,1512,1489,1413,1387,1423,1537,1461,1423,1335,1488,1518,1726,1769,1471,1452,1325,1246
Idaho Clearances,832,851,936,1009,1060,1040,1046,1104,1009,976,871,936,813,779,962,910,1043,1047,1115,1074,1066,1091,883,829,821,819,954,931,1043,938,1096,1012,1035,1002,860,1032,808,825,960,968,1095,1023,1199,1064,1081,1070,918,941,756,865,995,966,1016,1057,1089,1002,984,1004,965,954,870,820,911,937,995,990,1127,1053,1024,985,861,891,840,832,900,908,983,905,1088,1078,1032,975,891,969,730,781,972,923,1188,1022,1185,1001,1014,920,921,944,929,1018,954,1017,1119,1019,1015,923,999,928,743,856,928,911,1030,1013,1063,1051,1148,1028,992,908,814,823,865,842,984,986,1054,1033,1067,1128,988,944,837,926,939,879,1000,931,1039,944,1040,982,992,913,914,866,941,821,925,866,1009,952,980,983,1062,894,763,831,873,792,847,836,983,955,1063,1013,845,870,891,745,931,883,933,874,883,901,959,862,1012,789,733,862,896,815,909,851,953,1039,987,1024,1113,1042,837,854,798,852,802,989,1017,1001,991,1010,908,833,876,835,915,874,901,891,930,1008,1075,1058,1021,902,947,867,929,733,954,885,1026,997,960,958,1038,963,957,1100,1087,980,1146,869,1088,905,880,885,876,827,806,888,1001,916,1053,817,812,839,1009,1048,923,847,737,799
