series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020"
Wisconsin,3152,2906,3526,3161,3575,3343,3694,3629,3499,3664,3193,2819,3333,2797,3211,3436,3616,3552,3807,3663,3659,3917,3614,2971,3149,2936,3112,3212,3607,3460,3771,3599,3883,3576,3217,3259,2928,2391,3222,3265,3580,3405,3623,3718,3286,3298,3082,2762,2870,2712,3078,3125,3407,3265,3430,3094,2999,3552,3069,2701,2719,2459,2748,2949,3367,3388,3493,3344,3381,3483,2928,2872,3415,2882,3355,3630,3966,3797,4315,3756,3717,3912,3569,3502,3642,2975,3860,3806,4169,4173,4404,4176,4135,4146,3675,3268,3692,3058,3621,3855,4239,4247,4353,4144,4130,4076,3727,2984,3227,2999,3672,3789,4110,3865,3994,3887,3927,3764,3507,3175,3314,2782,3451,3607,3992,3504,3798,3736,3487,3544,3213,3071,3241,2736,3329,3431,3744,3649,3897,3693,3341,3532,3151,3120,3308,2939,3546,3616,4155,4011,4406,4087,3840,3761,3747,3364,3482,2966,3523,3642,3914,3923,3998,3954,3688,3467,3399,3159,3092,2747,3332,3301,3827,3756,3762,3885,3585,3627,3266,3377,3374,2815,3368,3585,3762,3751,4026,3933,3746,3659,3512,3335,3600,3292,3652,3536,3973,3719,3999,3797,3792,3878,3465,3390,3838,3247,3720,3900,4304,4138,4556,3980,4255,4054,3952,3689,3852,3456,3947,3585,4188,3872,4158,4041,3897,3968,3561,3614,3499,3168,3603,3869,4244,3906,4333,4064,4160,4155,3762,3954,3929,3623,3803,3170,4148,4581,4869,4619,4286,4119,4021,3852
Wisconsin Clearances,2271,2071,2502,2219,2453,2348,2483,2515,2469,2455,2202,2154,2354,2082,2437,2445,2558,2480,2583,2463,2442,2628,2545,2113,2256,2108,2245,2292,2516,2374,2483,2362,2585,2335,2187,2256,2116,1727,2230,2325,2434,2267,2449,2420,2380,2132,2011,1991,2073,1905,2231,2307,2341,2247,2400,2065,2217,2447,2098,1915,1777,1696,1791,1865,2052,2073,2096,2021,2038,2069,1771,1780,2260,1990,2258,2306,2495,2308,2594,2368,2291,2452,2228,2114,2255,1978,2487,2358,2570,2532,2607,2542,2581,2473,2225,1969,2351,1987,2395,2422,2702,2580,2622,2562,2475,2473,2324,1915,1977,1897,2279,2247,2447,2305,2288,2326,2335,2147,2066,1911,2089,1833,2250,2212,2464,2063,2207,2181,2159,2068,2051,1939,2169,1904,2181,2248,2458,2344,2409,2337,2240,2308,2031,2073,2230,1993,2310,2382,2733,2582,2813,2557,2456,2480,2334,2177,2328,2148,2451,2409,2658,2529,2513,2530,2403,2293,2215,2062,2045,1907,2244,2195,2464,2321,2370,2419,2204,2278,2050,2037,2223,1897,2261,2249,2305,2328,2410,2381,2335,2272,2197,2101,2215,2228,2351,2237,2528,2399,2427,2378,2397,2360,2150,2162,2469,2130,2376,2433,2560,2478,2826,2517,2508,2510,2499,2405,2426,2202,2495,2290,2513,2326,2492,2383,2389,2360,2198,2220,2190,2004,2210,2333,2517,2374,2570,2422,2544,2492,2379,2412,2522,2315,2309,2017,2464,2438,2752,2629,2454,2360,2260,2147
