series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020"
Mississippi,2637,2609,2927,2944,3240,2883,3066,3077,2846,3009,2532,2525,2888,2731,3001,3341,3405,3018,3058,2937,2882,2849,2604,2603,2672,2431,2802,3209,3189,3091,3174,3454,3150,2793,2334,2506,2566,2272,2878,2943,3225,2920,3102,2935,2785,2833,2549,2304,2786,2648,3186,3251,3326,3086,3157,3152,3011,3121,2628,2564,2943,2667,3066,3210,3475,3393,3510,3095,3001,2722,2812,3120,3204,2889,3331,3458,3850,3354,3345,3480,3298,3220,2636,2996,2884,2694,3512,3146,3566,3210,3259,3294,3040,3068,2837,3090,2716,2659,2956,3015,3235,3243,3345,3164,3359,3003,2654,2626,2690,2704,3366,3555,3595,3454,3274,3359,3225,2944,2895,2663,2734,2452,3194,3447,3498,3399,3214,3240,3227,3181,2747,2482,2558,2244,3037,3083,3213,2772,2841,2894,2664,2664,2353,2253,2456,2236,2803,2750,2720,2799,2728,2880,2653,2488,2272,2285,2264,2069,2394,2545,2593,2321,2468,2342,2296,2241,1887,1857,1968,1815,2200,2306,2454,2261,2396,2252,2265,2233,2038,1909,1946,1671,2121,2177,2242,2104,2232,2149,2057,2099,1753,1857,2108,1842,2074,2246,2374,2133,2291,2197,2137,2082,2028,1806,2009,1772,1990,2200,2191,1999,1983,2009,1900,1844,1740,1672,1684,1600,1809,1886,2083,1762,1717,1783,1629,1711,1533,1589,1782,1643,1751,1954,2028,1884,1904,2102,2033,1885,1755,1706,2172,2096,2235,2058,2415,2416,2628,2770,2497,2363,2206,1829
Mississippi Clearances,1156,1229,1294,1215,1360,1245,1261,1354,1178,1119,1040,958,1220,1188,1322,1431,1547,1348,1353,1357,1351,1311,1177,1180,1124,1116,1170,1297,1358,1238,1255,1361,1242,1094,903,966,964,902,1193,1145,1246,1171,1195,1113,1199,1093,1001,821,1076,1073,1298,1318,1259,1196,1130,1165,1117,1147,948,956,1108,1055,1139,1235,1147,1237,1199,1051,1107,1011,1020,1048,1141,1165,1276,1139,1393,1163,1218,1318,1302,1270,959,996,1011,988,1168,1028,1247,1051,1219,1219,1039,975,917,977,827,769,786,861,899,849,939,893,957,876,786,794,867,879,1070,1118,1182,1150,1039,1092,972,952,896,795,992,908,1099,1212,1177,1175,1018,1063,1095,1093,944,888,1050,923,1166,1195,1224,1157,1151,1194,1123,1142,931,925,910,940,1075,1042,1077,1010,1007,1005,981,1022,820,797,747,732,847,869,948,732,785,761,805,765,655,694,673,659,744,797,894,779,838,818,819,815,756,803,810,763,899,937,948,889,955,836,949,855,717,785,820,821,892,955,967,902,959,970,919,851,867,746,848,791,837,843,929,855,866,834,803,777,672,634,693,626,679,682,804,622,627,654,601,670,619,542,701,625,639,691,677,599,639,739,661,599,598,506,640,607,676,542,681,635,639,697,665,605,519,484
