series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020"
Vermont,230,220,253,270,299,216,293,289,234,245,234,1293,263,197,272,259,322,330,293,312,297,281,256,517,256,253,285,279,324,356,343,334,291,279,205,676,272,218,316,356,298,309,314,378,304,311,295,523,285,252,335,281,324,337,332,300,334,309,258,254,274,243,324,349,333,357,382,376,341,340,298,254,321,286,319,347,357,390,436,357,364,349,360,294,305,284,311,312,342,405,373,408,362,358,306,280,299,271,314,346,348,335,379,384,338,309,344,262,326,294,305,322,391,363,406,369,361,314,311,287,326,319,316,340,381,327,314,277,219,337,296,296,322,280,349,348,315,411,401,382,373,322,308,317,362,264,417,385,382,360,398,384,333,339,305,302,298,264,299,335,330,303,402,319,273,245,240,230,241,220,249,230,275,206,290,286,265,260,215,167,231,240,257,202,302,206,320,321,272,248,301,299,306,244,258,271,295,258,347,335,262,278,241,229,301,273,280,327,357,321,419,333,359,361,256,309,338,305,297,247,294,406,375,409,420,375,332,311,368,330,389,360,401,359,447,408,401,347,317,300,378,296,314,275,322,389,406,376,358,328,307,290
Vermont Clearances,147,152,174,176,180,144,196,201,153,160,160,140,159,136,180,162,227,234,202,203,183,171,161,139,173,158,163,185,216,239,247,225,198,195,151,153,169,139,244,226,199,211,214,258,198,214,207,183,174,160,209,188,231,219,258,216,229,226,192,199,183,157,227,245,245,239,270,253,230,225,223,185,193,182,229,236,277,296,309,262,247,236,292,209,197,194,218,217,243,285,246,276,252,238,209,210,223,189,223,226,242,214,261,292,239,229,249,195,239,207,235,254,274,270,264,279,265,217,230,223,235,230,234,239,286,263,237,214,134,265,230,204,240,193,290,267,225,275,294,276,298,222,210,242,268,206,318,274,273,270,294,277,243,233,193,253,208,209,223,257,245,232,295,252,202,204,179,176,191,163,210,183,225,156,225,234,191,209,167,124,155,179,197,146,224,160,235,253,202,160,234,224,208,195,194,197,226,164,259,250,198,198,168,189,216,201,198,228,248,237,306,246,268,224,191,193,216,215,216,173,177,264,266,295,266,242,235,231,262,247,267,255,270,255,333,279,250,243,252,239,245,211,207,210,210,257,265,238,259,229,194,191
