series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020"
Kansas,3505,3324,3515,3625,4053,3807,4134,4108,3836,3803,3211,3151,3713,3302,4118,4494,4386,4225,4608,4006,4013,4124,3717,3660,3680,3383,3783,4030,4305,4152,4351,4508,4360,3834,3382,3295,3628,2551,3709,3935,4223,3931,4137,4110,3921,4034,3266,3110,3514,3241,3654,4053,4345,3926,3991,3963,4099,4047,3382,6409,3314,3204,3555,3652,4021,3834,4153,4144,4161,3735,1317,10458,3633,3247,6251,3990,4161,6739,4003,3815,6689,3768,3299,6129,3265,3010,6549,3855,4434,7239,4171,4193,7543,3965,3471,6070,3505,3153,6232,3681,4098,6966,4214,4045,6867,4053,3604,4719,3882,3565,6355,4155,4437,6792,4220,4205,6632,3522,2906,4939,3437,3193,5946,4043,4199,6626,3998,3970,6404,4037,3516,5583,3505,3022,5806,3871,4227,6580,4102,4020,6345,3773,3279,5561,3563,3139,5975,3892,4194,6548,4100,3872,6516,3579,3291,5496,3289,2742,5484,3385,3796,6043,3566,3670,6059,3440,3252,5041,2978,2689,4877,3447,3773,5628,3475,3374,5299,2652,2534,4950,2955,2662,5171,3342,3448,5841,3363,3452,5816,3103,2842,5259,3045,2790,4386,3318,3347,4497,3385,3459,4678,3282,2833,3964,3180,3005,4378,3284,3812,4996,3454,3168,4737,3388,3167,4445,3290,3100,4777,3553,3815,4879,3416,3477,4945,3407,2946,4418,3069,2806,4441,3547,3770,4589,3582,3494,4614,3653,3354,4217,3869,3408,3643,3238,4062,4336,4236,4072,3800,3787,3451,3305
Kansas Clearances,1147,1146,1238,1258,1373,1360,1435,1384,1308,1210,999,1081,1147,1094,1342,1352,1325,1293,1395,1196,1214,1186,1033,1133,970,973,1040,1214,1250,1308,1317,1324,1289,1296,964,1025,943,902,1467,1632,1600,1527,1577,1573,1569,1616,1321,1283,1278,1345,1425,1556,1721,1503,1541,1606,1667,1664,1401,2846,1279,1361,1547,1558,1696,1567,1715,1795,1694,1720,569,5063,1213,1228,2036,1538,1749,2276,1649,1722,2395,1628,1471,2242,1207,1189,2641,1598,1923,2994,1693,1871,3153,1846,1619,2537,1630,1480,2816,1667,1805,3143,1988,1786,3008,1905,1678,2524,1652,1712,2682,1793,1966,2939,1965,1919,2741,1609,1345,2156,1637,1501,2876,1824,1942,2941,1998,1926,2905,1888,1614,2600,1603,1467,2483,1884,2040,2781,1961,1901,2353,1796,1494,2248,1529,1406,2209,1720,1915,2414,1789,1807,2412,1596,1413,2088,1467,1254,2450,1597,1694,2623,1707,1778,2732,1578,1605,2413,1453,1228,2088,1615,1671,2254,1586,1615,2249,1120,1061,2116,1516,1344,2247,1484,1533,2410,1595,1520,2331,1369,1367,1969,1374,1305,2068,1466,1463,2155,1510,1727,2170,1441,1317,1975,1503,1338,2307,1453,1721,2569,1618,1608,2483,1539,1317,2140,1122,739,1318,438,486,1359,513,620,1487,614,630,1584,1199,1321,2352,1536,1653,2120,1687,1619,2056,1632,1504,1933,1729,1617,1750,1575,1870,1892,1972,1938,1791,1847,1636,1673
