series,"01-2000","02-2000","03-2000","04-2000","05-2000","06-2000","07-2000","08-2000","09-2000","10-2000","11-2000","12-2000","01-2001","02-2001","03-2001","04-2001","05-2001","06-2001","07-2001","08-2001","09-2001","10-2001","11-2001","12-2001","01-2002","02-2002","03-2002","04-2002","05-2002","06-2002","07-2002","08-2002","09-2002","10-2002","11-2002","12-2002","01-2003","02-2003","03-2003","04-2003","05-2003","06-2003","07-2003","08-2003","09-2003","10-2003","11-2003","12-2003","01-2004","02-2004","03-2004","04-2004","05-2004","06-2004","07-2004","08-2004","09-2004","10-2004","11-2004","12-2004","01-2005","02-2005","03-2005","04-2005","05-2005","06-2005","07-2005","08-2005","09-2005","10-2005","11-2005","12-2005","01-2006","02-2006","03-2006","04-2006","05-2006","06-2006","07-2006","08-2006","09-2006","10-2006","11-2006","12-2006","01-2007","02-2007","03-2007","04-2007","05-2007","06-2007","07-2007","08-2007","09-2007","10-2007","11-2007","12-2007","01-2008","02-2008","03-2008","04-2008","05-2008","06-2008","07-2008","08-2008","09-2008","10-2008","11-2008","12-2008","01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020"
Rhode Island,40,108,2936,49,58,3435,70,87,3790,58,58,3189,68,63,3166,52,52,3732,60,55,3895,57,69,3468,48,53,3097,168,68,3445,67,67,3574,64,75,2974,52,48,2895,0,0,3531,0,0,3735,0,0,3147,0,0,2843,0,0,3529,0,0,3422,0,0,3118,602,604,1573,700,746,1753,779,728,1702,746,651,1471,669,596,704,691,763,2439,1134,1049,1119,1008,925,835,929,815,800,1025,1216,1092,1174,1031,1144,1139,940,874,981,851,969,997,1164,1123,1185,1140,1036,1027,1001,848,929,870,1072,962,1124,1049,1065,1084,1049,1027,893,896,988,835,1074,1066,1179,1151,1256,1122,1153,1106,903,886,912,766,992,753,1088,1091,1184,1093,1037,965,901,901,896,791,1021,972,1152,1053,1119,1067,1036,970,860,864,885,710,906,913,986,1036,1021,1093,952,1002,848,841,853,766,851,888,1049,1009,1042,1002,897,871,828,809,806,735,883,942,1093,974,981,1093,968,865,878,828,808,715,923,841,1023,988,1012,927,907,943,788,783,817,693,788,962,1014,1061,980,927,1010,975,893,820,756,836,859,838,1088,946,1044,932,950,847,766,838,764,717,884,879,877,937,961,945,978,967,820,786,823,757,723,514,782,885,930,876,827,895,677,608
Rhode Island Clearances,33,36,1606,26,29,1949,37,52,2169,25,39,1885,30,22,1930,18,3,2068,3,4,2066,3,7,1769,5,5,1707,54,6,1910,7,6,1792,11,13,1511,5,14,1594,0,0,1847,0,0,1939,0,0,1724,0,0,1588,0,0,1931,0,0,1771,0,0,1635,315,367,804,404,466,843,478,425,679,441,403,595,406,340,409,415,436,892,556,521,568,536,491,450,456,388,413,447,492,465,546,454,528,487,415,416,472,395,474,460,555,532,553,543,511,482,454,419,476,414,580,518,557,573,570,566,581,509,478,505,525,483,564,569,576,589,657,568,652,570,491,422,477,407,545,429,549,581,596,574,512,488,484,445,502,426,507,489,564,523,597,562,550,515,439,441,492,406,493,459,491,511,535,581,470,455,435,423,475,445,421,511,567,524,534,515,447,414,398,423,416,377,476,451,514,472,501,582,495,426,485,443,416,400,498,440,548,552,521,513,450,481,428,410,479,386,464,511,511,525,541,556,520,498,473,460,425,468,502,482,557,521,573,540,488,455,419,435,429,418,497,476,499,512,538,523,521,533,424,453,479,436,401,285,431,417,500,456,435,425,368,305
